eigenaar;koper;beschrijving;stijl;vraagprijs;verkoopprijs;oppervlakte;tuin;verdiepingen;slaapkamers;afwerkingsniveau;bouwjaar
Zoé Hajji;Axel Gilson;Illum sint quo nemo dicta quia quasi soluta animi rerum.;villa;796000;787000.0;198.0;850.0;3;5;3;1942
Ethan Claes;Sara Hardy;Amet ipsum excepturi ea porro quia.;landelijk;1006000;915000.0;325.0;2216.0;2;3;3;1967
Ethan Hubert;Inès Maes;Distinctio et nobis magnam doloremque quidem quos voluptatum et corporis.;open;479000;459000.0;187.0;162.0;2;3;2;1949
Eloïse Van den Bossche;;Libero dolores distinctio et laboriosam quo.;halfopen;250000;239000.0;94.0;157.0;2;2;1;1890
Lucas Kaya;Maëlle Dierckx;Voluptas doloribus accusantium iste at alias voluptatem eligendi commodi ipsam.;landelijk;213000;;90.0;2259.0;1;3;3;1917
Quinten Evrard;;Officiis nostrum error iste animi aperiam quas provident ratione at.;rijhuis;541000;;186.0;128.0;2;4;2;1947
Alyssa Verhaeghe;;Magni est laboriosam sed est quo soluta tenetur non.;rijhuis;546000;516000.0;154.0;279.0;2;3;4;1971
Romane Dogan;;Sint assumenda perspiciatis dolorem similique vel dolorem exercitationem.;open;1257000;1183000.0;300.0;344.0;2;3;3;2004
Lars Lenaerts;;Eligendi iste nobis soluta pariatur et cumque quo.;appartement;171000;164000.0;65.0;0.0;1;1;2;1971
Eloïse Gielen;Pauline Pierre;Aliquid amet eaque et dolorum.;appartement;270000;;100.0;0.0;3;3;3;1896
Fleur Mathieu;;Molestias totam cumque velit rerum quos totam aut quam.;hoeve;421000;384000.0;142.0;5048.0;3;4;4;1862
Nina Marchal;Lily Van Damme;Et rerum ipsum voluptas aliquam enim labore dolor et.;open;855000;811000.0;234.0;240.0;2;4;2;1876
Romane Van den Broeck;Luna Laurent;Enim ipsa quis laboriosam tenetur provident sit aut.;rijhuis;292000;269000.0;137.0;80.0;2;3;2;1866
Rayan Bastin;Ilias Cuvelier;Error magni aut quo quisquam laborum fuga est eius.;villa;788000;720000.0;298.0;282.0;2;5;3;1972
Linde Etienne;Lily Daems;Ipsum quibusdam et sunt quis quisquam nihil fugit qui.;landelijk;524000;478000.0;170.0;200.0;2;3;2;2002
Lukas Charlier;Yanis Luyten;Asperiores id et optio voluptate fuga consequatur minima optio ut.;appartement;297000;267000.0;99.0;28.0;1;3;2;1986
Sarah Pirotte;;Ducimus et eum asperiores dolores voluptas nobis est totam voluptate.;halfopen;337000;314000.0;124.0;0.0;2;3;3;1970
Manon Servais;Hajar Somers;Tempore et qui sint soluta et nobis delectus tempora in.;halfopen;445000;445000.0;169.0;301.0;2;4;3;1919
Daan Rousseau;Ayoub Goethals;At sint recusandae deleniti quia.;landelijk;847000;;277.0;810.0;1;4;2;1904
Jade Bastin;;Est est voluptatem omnis sunt aliquid et at.;rijhuis;693000;609000.0;172.0;183.0;2;4;5;2025
Zoë Willems;Guillaume Dubois;Itaque a minus facilis neque.;rijhuis;309000;288000.0;125.0;98.0;2;2;2;1999
Sara Declercq;Kato Cornet;Repellendus aut molestias ut ratione quas fugit provident.;appartement;207000;186000.0;79.0;29.0;1;2;4;1879
Alexis Smets;;Ut perferendis error dolorem saepe reprehenderit.;villa;501000;488000.0;136.0;1228.0;2;3;2;1991
Camille Somers;;Necessitatibus et qui eum maxime inventore accusamus dolor ad.;rijhuis;371000;339000.0;157.0;155.0;2;4;2;1887
Yana Verstraeten;Mats Goossens;Dolorum ut quam recusandae consequatur unde.;villa;707000;610000.0;165.0;1977.0;2;5;3;2025
Aya Verhelst;;Ullam harum velit repellat sint.;rijhuis;326000;300000.0;143.0;29.0;2;2;2;1949
Elena Tran;Janne Louis;Natus ipsum et blanditiis exercitationem ullam.;landelijk;948000;866000.0;279.0;1598.0;2;5;4;1982
David Vercammen;;Mollitia et ad eos et.;villa;987000;;233.0;425.0;3;4;3;2011
Gabriel Masson;Anna Verhaeghe;Placeat voluptas et similique sed.;hoeve;655000;604000.0;216.0;3580.0;2;4;4;1976
Alicia Martin;Louis Peeters;Dolores et architecto dolores id.;halfopen;368000;326000.0;130.0;81.0;2;2;2;1949
Elias Luyten;Alexandre Brasseur;Inventore et dolorem fuga asperiores architecto molestiae quia non odit.;rijhuis;390000;353000.0;142.0;42.0;3;3;2;2000
Arne Yilmaz;;Non omnis laboriosam nesciunt quod rerum facilis.;hoeve;565000;530000.0;179.0;2680.0;2;5;2;1883
Emile Lecocq;Ethan François;Eaque in illum aut minima.;villa;720000;663000.0;203.0;623.0;2;5;2;1935
Lander Rousseau;Tuur Van Acker;Saepe magni ipsum asperiores ut ut fugiat vel repellat.;hoeve;801000;731000.0;185.0;3125.0;1;4;5;2008
Sander Bertrand;;Qui in qui illum nobis.;open;623000;559000.0;212.0;391.0;2;4;2;1902
Théo Denis;;Quaerat commodi possimus reiciendis et qui tempora ipsum.;landelijk;503000;462000.0;155.0;449.0;2;3;2;1958
Laura Van Hoof;Lara Delvaux;Voluptatibus accusantium pariatur iusto aspernatur et.;open;539000;;291.0;122.0;2;4;1;1903
Ines Lebrun;Eva Parmentier;Est voluptatem tempora et laudantium ut id sunt aliquam.;halfopen;424000;365000.0;165.0;0.0;2;4;3;2019
Yana Toussaint;;Ducimus incidunt laborum quis error accusamus mollitia.;villa;546000;527000.0;221.0;658.0;2;4;1;2015
Lore Thys;;Fugiat omnis ut sint tempora nesciunt debitis est eligendi.;rijhuis;530000;465000.0;186.0;108.0;2;3;2;1937
Tom Willems;Warre Hermans;Nihil dignissimos praesentium ea laboriosam nesciunt qui asperiores.;appartement;193000;180000.0;78.0;24.0;1;1;1;1922
Emile Louis;Loïc De Backer;Aut similique excepturi eveniet hic in maiores.;open;481000;;117.0;500.0;2;3;3;1998
Chloé De Backer;Hajar Verbruggen;Hic ducimus neque in consequatur.;appartement;254000;237000.0;68.0;0.0;1;2;4;1947
Tuur Michiels;Léa De Wilde;Qui voluptatum et libero quae quo.;appartement;239000;231000.0;86.0;21.0;1;1;2;1930
Julie De Coninck;Nolan De Greef;Dicta perspiciatis eos harum totam.;villa;909000;850000.0;240.0;828.0;2;5;4;1912
Stan Lievens;Merel Michiels;Ut numquam nobis impedit et.;open;376000;348000.0;213.0;50.0;2;3;1;2018
Lina Goffin;Lowie Gilson;Voluptatem illum aut ut hic itaque itaque.;appartement;379000;360000.0;144.0;8.0;1;1;3;1928
Sara Vermeersch;Maxim Verstraete;Sit eum et qui cumque magnam.;villa;430000;424000.0;101.0;1069.0;3;5;4;1989
Célia Remy;Janne Bertrand;Deleniti quibusdam illo dignissimos quo ullam.;halfopen;451000;;168.0;201.0;2;4;1;2000
Wout Verhaegen;;Totam fuga fugiat consequatur rerum id omnis.;rijhuis;309000;295000.0;99.0;162.0;2;2;3;1919
Océane Descamps;Wout Nijs;Minima ipsa enim omnis voluptate quidem ut facilis asperiores eaque.;halfopen;262000;243000.0;99.0;191.0;3;2;1;1944
Kobe Demir;Warre Cornelis;Repudiandae molestiae quae laborum dolor iste sint.;landelijk;418000;400000.0;111.0;269.0;2;2;5;2021
Jonas Gilles;Daan Gilson;Vel tempore error nam natus rerum assumenda.;rijhuis;750000;;198.0;265.0;2;4;4;1971
Noor Bastin;Kaat El Amrani;Qui veritatis enim quas deleniti consectetur accusamus.;appartement;308000;298000.0;107.0;0.0;1;1;3;1894
Rania Delvaux;;Deleniti non enim voluptatem totam asperiores autem rerum.;hoeve;1004000;898000.0;288.0;4992.0;2;4;3;2025
Gabriel Bastin;Arne Fontaine;Quas qui aliquam velit deserunt delectus voluptas a nesciunt.;rijhuis;483000;442000.0;153.0;63.0;2;4;4;1922
Elena Lecomte;;Enim qui blanditiis quos optio nihil ut minima reiciendis.;open;1004000;887000.0;249.0;330.0;2;4;3;1972
Jana Dogan;Jules Toussaint;Perferendis dolorum et placeat corrupti sed.;halfopen;487000;439000.0;176.0;89.0;2;4;2;1965
Elias Georges;Noah Jacob;Quas quam asperiores eos deserunt sit non esse quasi voluptas.;hoeve;803000;758000.0;238.0;500.0;2;4;2;2015
Tess Parmentier;Senne Pierre;Odio et possimus sit facilis beatae enim voluptates maxime.;appartement;444000;;109.0;40.0;1;2;5;1920
Gabriel Aerts;Gilles Michaux;Nostrum eaque recusandae quia eius ad.;rijhuis;532000;506000.0;188.0;20.0;2;3;3;2010
Kaat Toussaint;Hajar Mertens;Ex dolores ipsum similique qui sunt.;open;614000;526000.0;213.0;50.0;2;4;2;1971
Jarne Segers;;Provident vitae omnis in id.;halfopen;589000;544000.0;153.0;170.0;2;3;3;2023
Océane Vermeersch;Janne Pirotte;Voluptatem harum nisi quam aliquid assumenda rerum.;open;848000;785000.0;203.0;290.0;2;3;4;1894
Jana André;Théo Amrani;Rerum pariatur explicabo iure ut occaecati et.;landelijk;515000;491000.0;159.0;3872.0;2;3;4;1925
Lisa Nijs;;Quo nam quaerat quam non maxime odio.;villa;247000;212000.0;94.0;1154.0;2;3;1;1880
Romane Hajji;Jeanne Willems;Occaecati suscipit numquam odio cupiditate vel sit et quas minus.;halfopen;480000;441000.0;119.0;146.0;3;3;2;1982
Yanis Van Hecke;Tess De Vos;Est ea ducimus quas voluptate eum voluptatem laudantium.;landelijk;1425000;1259000.0;325.0;2265.0;2;4;5;2015
Raphaël De Clercq;Helena Saidi;Id dolorem repellendus consequatur cumque deleniti.;halfopen;678000;596000.0;156.0;183.0;2;4;4;2018
Gilles Nguyen;Yana Vervoort;Enim quisquam consectetur iusto voluptatum.;open;457000;422000.0;129.0;50.0;2;3;5;1907
Ella Ceulemans;Anouk Smet;Aut ut repudiandae nesciunt sapiente consectetur laudantium cupiditate tenetur.;landelijk;683000;634000.0;181.0;200.0;2;4;4;2000
Lukas Parmentier;;Quia esse expedita voluptates cum cupiditate.;appartement;390000;367000.0;129.0;0.0;1;2;2;1904
Lotte De Cock;Mats Verbeeck;Dolorum impedit minus velit et sint voluptatem assumenda nam.;open;1043000;956000.0;330.0;867.0;2;5;3;2020
Ella De Greef;Alexandre Marchal;Aliquam quia praesentium similique culpa iste quo beatae nesciunt.;hoeve;220000;;90.0;1962.0;2;3;2;1919
Mathias Heylen;Sofia Gillet;Aliquid omnis fugiat quidem odit optio iure.;landelijk;302000;298000.0;90.0;1183.0;2;2;4;2022
Martin Declercq;;Enim quo autem sint neque eaque maiores perferendis natus.;open;208000;192000.0;90.0;666.0;2;3;1;1851
Océane Janssen;Aya Thys;Voluptatem dicta quia quibusdam temporibus deleniti.;hoeve;503000;472000.0;157.0;4187.0;1;4;3;1922
Niels Fontaine;;Deleniti velit autem quasi fugit.;hoeve;427000;392000.0;135.0;2649.0;2;3;2;2011
Océane Denis;Aaron Collard;Qui laborum totam accusantium veritatis ea sint.;villa;1171000;1080000.0;281.0;398.0;2;5;2;2001
Ethan Antoine;;Qui praesentium sapiente consequuntur neque quidem ipsa.;appartement;469000;440000.0;121.0;0.0;1;3;5;1998
Emilie Goffin;Victoria Lievens;Possimus odit reprehenderit necessitatibus sit.;open;718000;;161.0;370.0;2;3;5;2016
Antoine Hajji;Xander Servais;Id iusto consequatur temporibus cumque quae facere a est provident.;rijhuis;573000;520000.0;243.0;163.0;2;4;1;2023
Maëlle Lefebvre;;Sit explicabo qui sit molestiae dolor debitis iusto labore.;rijhuis;406000;384000.0;126.0;173.0;3;2;2;1922
Nicolas Coppens;Louis Cornet;Dolores similique ut maiores aut ullam consectetur nisi sed.;rijhuis;466000;447000.0;163.0;191.0;2;4;1;2014
Rayan Martin;Clément Leclercq;Omnis tempora quis voluptatem earum laborum sunt et quibusdam cupiditate.;appartement;293000;261000.0;124.0;0.0;1;2;1;1864
Maxim Jacquet;Sander Bosmans;Magnam ipsam quod quos omnis quo.;hoeve;249000;226000.0;129.0;2970.0;2;3;1;1938
Jasper Aerts;;Blanditiis omnis perferendis cumque officia sed.;landelijk;648000;622000.0;209.0;1070.0;3;3;3;1959
Mathias Meert;;Earum illo neque ipsam impedit ad atque.;halfopen;308000;291000.0;161.0;49.0;2;3;1;1861
Noémie Vermeulen;;Officia rerum magni velit aut tenetur dolor.;appartement;339000;310000.0;101.0;28.0;1;1;2;2018
Hanne Dogan;Vince Wuyts;Voluptas sit vero non velit at labore exercitationem expedita sed.;hoeve;540000;487000.0;250.0;7203.0;2;4;1;1970
Ella Coppens;Jana Guillaume;Magni eveniet temporibus laudantium omnis asperiores et eius.;rijhuis;441000;382000.0;143.0;143.0;2;4;3;2012
Célia Benali;Léa Jacobs;Sint ullam quaerat expedita error.;hoeve;308000;281000.0;155.0;500.0;2;4;1;1866
Chloé Lauwers;Nora Verhoeven;Est blanditiis in incidunt a vitae aperiam at.;villa;1081000;;259.0;990.0;3;5;2;2006
Océane Herman;Lien Libert;Nihil ut dolorum sit in fuga tempore.;appartement;318000;;93.0;43.0;1;3;2;2002
Alexandre Herman;Florian Adam;Fugiat aut officiis sit vel aut.;rijhuis;333000;;169.0;69.0;2;4;2;1931
Alyssa Martin;;Ipsa ut expedita et doloremque et.;halfopen;430000;377000.0;130.0;56.0;2;4;5;1866
Tristan Poncelet;;Vel placeat voluptas porro consequatur repudiandae sint occaecati dolorum nemo.;open;1079000;1064000.0;241.0;398.0;3;5;5;1858
Rayan Renard;Lina Simon;Et magni sit pariatur nihil eum mollitia sapiente dolore.;landelijk;642000;608000.0;210.0;784.0;2;4;4;1979
Loïc Thomas;Leon Amrani;Dolorem consequatur est reprehenderit voluptatum dolores placeat sunt facere ut.;appartement;176000;163000.0;75.0;19.0;1;2;2;1917
Laure Stevens;;Est ad deleniti molestias et ut minima placeat laborum ipsam.;rijhuis;453000;452000.0;167.0;288.0;2;4;2;2010
Noah Lecomte;Jules Goffin;Fugiat eum id perspiciatis aut qui.;landelijk;521000;472000.0;170.0;1676.0;2;2;3;1925
Manon De Cock;Nathan Libert;Modi optio rem quasi qui.;appartement;445000;;149.0;6.0;2;3;3;2024
Noah Dumont;;Et voluptatem libero quibusdam voluptatem.;hoeve;442000;400000.0;162.0;4362.0;2;4;1;1977
Lander Van Hecke;;Magni reiciendis cum saepe facere quis unde aspernatur voluptatem.;halfopen;548000;515000.0;184.0;105.0;2;4;2;2024
Mathys Celik;Ilias Henry;Quaerat voluptatum voluptatem facere dolor.;open;232000;227000.0;90.0;831.0;2;3;1;1988
Léa Verstraeten;;Et sapiente quisquam eveniet qui aut repellendus.;villa;597000;;164.0;1099.0;3;4;2;1898
Siebe De Coster;Louise Delvaux;Sit a omnis esse temporibus.;rijhuis;215000;201000.0;78.0;126.0;2;4;2;2025
Thomas Jacob;;Quasi recusandae eos repellat ratione aut et.;open;453000;;203.0;51.0;2;3;1;2020
Leon Verstraeten;;Et quis aliquam dolor sunt.;open;422000;375000.0;144.0;577.0;2;3;2;1953
Emiel Dogan;Milan Rousseau;Qui ullam velit occaecati aspernatur aliquam sed error est.;landelijk;781000;718000.0;297.0;3291.0;2;4;2;1927
Florian Devos;Mohammed Bourgeois;Molestiae est est assumenda aut neque ducimus.;appartement;342000;324000.0;123.0;11.0;1;2;2;2003
Ilias Pieters;Siebe Claes;Labore sunt illo sunt recusandae enim.;villa;1173000;1103000.0;304.0;1073.0;3;5;2;2024
Chiara Georges;;Assumenda fuga nisi consequuntur quia nesciunt doloremque adipisci ducimus.;open;459000;419000.0;136.0;558.0;1;3;2;1863
Liam Renard;Adam Pirotte;Explicabo aut dolor molestiae eveniet totam.;appartement;121000;108000.0;49.0;36.0;1;2;1;1896
Febe Vandamme;Alexis Servais;Et itaque ea aut consectetur sit perspiciatis eos asperiores.;rijhuis;552000;524000.0;149.0;254.0;2;4;4;1972
Alexandre Noël;;Quis qui esse vero ut id.;villa;1008000;918000.0;299.0;999.0;2;6;2;2014
Diego Leroy;;Deserunt et fuga sit eum.;open;700000;646000.0;221.0;487.0;2;4;2;1904
Ruben Leroy;Jeanne Schmitz;Qui quod ut blanditiis qui et repudiandae id.;rijhuis;531000;503000.0;226.0;172.0;3;4;2;1944
Mauro Desmedt;Robin Van Dyck;Ipsum officia quos aut similique consequatur fugit.;villa;760000;709000.0;182.0;937.0;2;3;3;1902
Linde Michel;Robin Verhelst;Odit totam officia animi laborum nihil.;landelijk;486000;440000.0;153.0;3119.0;2;3;3;1947
Tristan De Pauw;Lucas Yilmaz;Pariatur repellendus in nisi vel.;appartement;409000;391000.0;119.0;40.0;1;2;4;2023
Loïc Pierre;;Quia impedit quia non porro expedita nihil aperiam.;villa;800000;735000.0;277.0;100.0;2;5;3;1934
Léa Vandamme;Elias André;Quisquam nisi quia provident qui consequuntur facere facere non.;rijhuis;383000;364000.0;135.0;123.0;2;3;4;2015
Jade Celik;Sacha Laurent;At officia enim earum et sequi sed unde.;villa;354000;324000.0;155.0;100.0;3;4;1;1916
Noor Cools;Sarah Borremans;Deleniti dolor placeat repudiandae et exercitationem eius deserunt.;open;548000;;153.0;551.0;2;4;3;1902
Maxime Lecocq;Nora Pieters;Possimus et dolor consequatur consequuntur error cupiditate.;appartement;432000;401000.0;155.0;31.0;1;3;3;1907
Hanne Segers;;Omnis porro occaecati in ipsa animi incidunt et est.;halfopen;248000;;70.0;111.0;2;3;2;2023
Tess Jansen;;Quia occaecati et qui ullam velit explicabo.;villa;908000;859000.0;285.0;2311.0;1;6;2;1893
Zoé De Smedt;Vince Desmet;Ut facere consequatur dolorem et omnis autem eaque ipsa.;villa;604000;;191.0;402.0;2;4;3;1932
Florian Leroy;;Temporibus hic error est rerum.;hoeve;895000;829000.0;311.0;5049.0;2;4;2;1948
Seppe Vandamme;Lily Mathieu;Dicta blanditiis et minus a.;villa;1163000;1087000.0;258.0;754.0;2;5;2;2019
Ilias Etienne;;Atque tenetur quisquam dignissimos illo ea sed voluptatem qui.;rijhuis;360000;343000.0;105.0;114.0;2;2;2;1986
Sander Dethier;;Molestias optio enim asperiores labore quis est.;appartement;446000;399000.0;111.0;0.0;1;1;5;2010
Simon Verstraete;Janne Dumont;Eaque sit alias quam labore.;appartement;254000;235000.0;93.0;21.0;2;3;2;1996
Noor Verbeeck;Laura Dethier;Cupiditate rerum consequatur recusandae officia.;halfopen;453000;431000.0;128.0;239.0;2;4;3;2005
Dylan Collignon;Maxime Smet;Occaecati ab ab veniam fugit impedit ut non sequi dolorem.;open;357000;323000.0;103.0;376.0;2;2;2;1933
Kato Barry;;Ratione necessitatibus voluptates voluptatem molestias rem rerum non eum possimus.;halfopen;714000;635000.0;202.0;262.0;2;4;3;1903
Elias Goethals;Elise Kaya;Quae dolorem nihil est maxime explicabo.;halfopen;268000;254000.0;74.0;149.0;2;4;2;1983
Zoë Petit;;Accusantium veritatis suscipit ipsum rerum sit vitae.;landelijk;559000;512000.0;217.0;2019.0;2;4;3;1880
Elias Leclercq;Milan Baert;Nihil natus eius beatae sed eum non modi.;hoeve;1030000;935000.0;345.0;2350.0;2;5;2;2018
Tess Vandamme;Vince Lemaire;Quia occaecati odit necessitatibus dolorem maiores odio.;halfopen;372000;353000.0;171.0;117.0;2;4;2;1986
Nathan Devos;Simon Roels;Omnis et numquam reiciendis optio.;open;756000;;315.0;315.0;2;5;2;1991
Hanne Lemaire;Ilias Claes;Iste ut suscipit eum natus molestiae aliquam molestiae a facere.;villa;944000;823000.0;265.0;1431.0;1;5;4;1897
Loïc Van den Bossche;Olivia Guillaume;Aperiam illo quo nihil at assumenda quae.;hoeve;769000;732000.0;293.0;2510.0;2;5;1;2019
Robin Van Dyck;;Quod voluptatem nisi qui vel provident mollitia.;halfopen;399000;381000.0;116.0;174.0;2;3;2;1909
Ayoub Moens;;Dolorem nihil esse doloremque ad cupiditate quis asperiores ea nihil.;villa;855000;;213.0;1291.0;3;4;3;1906
Tom Van den Bossche;;Non sit corporis esse asperiores nemo at.;halfopen;528000;492000.0;170.0;179.0;2;3;2;1974
Mila Pauwels;Arne Gilson;Temporibus earum perspiciatis et repellendus voluptatem voluptates nisi tempora est.;open;839000;765000.0;218.0;299.0;2;3;5;1913
Jarne Delfosse;;Iure consequatur voluptas quia nemo.;halfopen;340000;330000.0;114.0;0.0;2;4;4;1946
Lore Thiry;;Neque ut nemo qui neque omnis eaque maxime.;villa;515000;479000.0;131.0;1269.0;3;3;4;1872
Jelle Willems;Emile Moens;Esse est est totam dicta inventore recusandae.;landelijk;514000;465000.0;202.0;1886.0;2;3;1;2018
Clément Vermeersch;;Autem itaque perferendis omnis quibusdam excepturi sint suscipit.;open;711000;634000.0;231.0;776.0;2;4;2;1906
Jules Bah;Anna Somers;Sint quia consequuntur nihil in eum quaerat quia corporis vero.;landelijk;699000;663000.0;220.0;1813.0;2;5;3;2018
Mehdi De Backer;Zoé Collin;Quia et quo beatae minima sit.;hoeve;277000;;90.0;2950.0;1;4;3;2023
Alexis Hubert;Mauro Descamps;Sint ex cum iusto consequuntur voluptatem iste voluptas laborum id.;hoeve;543000;479000.0;163.0;1625.0;2;4;2;1957
Marie Michiels;Romain Yilmaz;Qui tempora sed sed reprehenderit dolores.;landelijk;594000;548000.0;161.0;2473.0;2;3;4;2011
Ines Saidi;Raphaël Nicolas;Id distinctio non enim qui eius similique dolores mollitia.;villa;589000;536000.0;230.0;292.0;2;3;1;1861
Sara Saidi;Théo Verhelst;Optio illo vero sunt vel et dolorem molestiae dignissimos.;open;632000;;140.0;350.0;2;3;5;1973
Romain Kaya;Amy Collin;Consectetur quis eveniet illum rerum vitae ut repellendus.;hoeve;435000;412000.0;208.0;2464.0;2;5;1;1987
Merel Mertens;;Deserunt porro fugiat aliquam et et dicta mollitia necessitatibus.;hoeve;342000;322000.0;114.0;1656.0;2;3;3;2012
Estelle Verbeke;;Quo perferendis aspernatur dolor consequatur magni eveniet.;rijhuis;269000;242000.0;134.0;0.0;2;4;2;2001
Emiel Roels;Axelle Collin;Nihil est quam dolorem quaerat consequatur maiores molestias tenetur.;villa;1090000;972000.0;249.0;1789.0;3;5;5;2025
Lien Devos;Margaux Benali;Voluptatem itaque qui debitis tempore animi.;appartement;272000;248000.0;126.0;30.0;1;3;1;2010
Inès Louis;Malak Baert;Iusto reiciendis magnam vitae nesciunt quae eos sit.;open;308000;298000.0;114.0;50.0;2;4;3;2021
